id;mac_address;device_name;rssi;estimated_distance_m;tx_power;timestamp;session_id
427;D0:03:DF:C5:D8:CD;[TV] Samsung 7 Series (50);-94;0.00;-2147483648;1,77472E+12;session_1774715333436
428;55:80:6E:74:37:27;;-95;966993583.69;12;1,77472E+12;session_1774715333436
429;E8:AA:CB:04:47:55;"43"" The Frame";-96;0.00;-2147483648;1,77472E+12;session_1774715333436
430;1C:E8:9E:54:12:46;Washer;-102;0.00;-2147483648;1,77472E+12;session_1774715333436
431;68:FC:CA:BC:DA:11;[TV] TV Living;-95;0.00;-2147483648;1,77472E+12;session_1774715333436
432;4F:3B:DF:0D:AB:22;S39 A686 LE;-101;4258796478.08;11;1,77472E+12;session_1774715333436
433;46:52:4C:D3:3A:A5;;-98;1319618199.40;12;1,77472E+12;session_1774715333436
434;52:A3:08:D4:34:66;;-101;54792929.94;17;1,77472E+12;session_1774715333436
435;98:06:3C:2D:B1:95;;-96;0.00;-2147483648;1,77472E+12;session_1774715333436
436;7C:0A:3F:54:CA:45;;-98;0.00;-2147483648;1,77472E+12;session_1774715333436
437;5D:BE:05:8B:D8:23;;-97;127880625.57;15;1,77472E+12;session_1774715333436
438;C8:79:F7:26:21:C4;;-99;0.00;-2147483648;1,77472E+12;session_1774715333436
439;0B:2A:F3:B1:33:9F;;-70;0.00;-2147483648;1,77472E+12;session_1774715333436
440;62:A0:FA:DE:D2:B0;;-82;221986244.18;12;1,77472E+12;session_1774715333436
441;05:B0:3A:D7:99:0A;;-47;0.00;-2147483648;1,77472E+12;session_1774715333436
442;D0:03:DF:C5:D8:CD;[TV] Samsung 7 Series (50);-95;0.00;-2147483648;1,77472E+12;session_1774715333436
443;5E:84:1E:47:98:AF;;-95;966993583.69;12;1,77472E+12;session_1774715333436
444;47:31:70:7A:DE:DC;;-97;1163067.51;24;1,77472E+12;session_1774715333436
445;ED:3B:7F:8C:9D:6F;;-95;0.00;-2147483648;1,77472E+12;session_1774715333436
446;3C:4F:06:03:74:5C;;-47;0.00;-2147483648;1,77472E+12;session_1774715333436
447;1C:E8:9E:54:12:46;Washer;-101;0.00;-2147483648;1,77472E+12;session_1774715333436
448;27:A4:43:1F:1F:02;;-51;0.00;-2147483648;1,77472E+12;session_1774715333436
449;3D:D3:73:17:40:44;;-47;0.00;-2147483648;1,77472E+12;session_1774715333436
450;20:64:DE:ED:F1:A6;Comedor;-86;0.00;-2147483648;1,77472E+12;session_1774715333436
451;29:37:CF:43:80:5F;;-92;0.00;-2147483648;1,77472E+12;session_1774715333436
452;A0:D7:F3:C2:B5:CF;Samsung CU8000 43;-98;0.00;-2147483648;1,77472E+12;session_1774715333436
453;06:65:29:DA:65:E9;Bn4038713;-86;0.00;-2147483648;1,77472E+12;session_1774715333436
454;2D:29:BB:28:0E:80;;-92;0.00;-2147483648;1,77472E+12;session_1774715333436
455;D8:CF:70:5B:D9:2F;;-82;0.00;-2147483648;1,77472E+12;session_1774715333436
456;52:9C:F1:9C:87:C7;;-90;1344306327.49;11;1,77472E+12;session_1774715333436
457;80:47:86:84:B8:C9;;-97;0.00;-2147483648;1,77472E+12;session_1774715333436
458;D4:BF:6F:65:0A:B3;;-83;0.00;-2147483648;1,77472E+12;session_1774715333436
459;F8:17:2D:59:E5:86;TY;-88;0.00;-2147483648;1,77472E+12;session_1774715333436
460;53:0E:DC:F4:D6:AF;;-84;282475249.00;12;1,77472E+12;session_1774715333436
461;5D:BE:05:8B:D8:23;;-98;141692925.24;15;1,77472E+12;session_1774715333436
462;2B:60:65:84:17:72;;-98;0.00;-2147483648;1,77472E+12;session_1774715333436
463;64:E7:D8:91:7B:17;;-94;0.00;-2147483648;1,77472E+12;session_1774715333436
464;BC:7E:8B:A7:51:6F;;-93;0.00;-2147483648;1,77472E+12;session_1774715333436
465;55:A5:DC:38:A6:8A;Tab S9 de Eduardo;-70;0.00;-2147483648;1,77472E+12;session_1774715333436
466;22:70:A9:92:07:63;;-99;0.00;-2147483648;1,77472E+12;session_1774715333436
467;CB:37:30:33:44:78;Govee_H619C_4478;-92;0.00;-2147483648;1,77472E+12;session_1774715333436
468;05:F2:4F:96:5E:30;;-50;0.00;-2147483648;1,77472E+12;session_1774715333436
469;FC:F1:36:35:2A:63;;-85;0.00;-2147483648;1,77472E+12;session_1774715333436
470;C8:12:0B:43:4C:93;;-99;0.00;-2147483648;1,77472E+12;session_1774715333436
471;5C:23:CB:1A:18:4E;;-80;Infinity;0;1,77472E+12;session_1774715333436
472;DB:45:E5:E7:E9:B3;;-89;0.00;-2147483648;1,77472E+12;session_1774715333436
473;D4:E0:03:E9:D4:55;;-89;0.00;-2147483648;1,77472E+12;session_1774715333436
474;46:52:4C:D3:3A:A5;;-97;1190981134.51;12;1,77472E+12;session_1774715333436
475;27:FA:B1:F0:39:7E;;-103;0.00;-2147483648;1,77472E+12;session_1774715333436
476;5E:17:B7:C1:2F:F0;;-101;0.00;-2147483648;1,77472E+12;session_1774715333436
477;BC:7E:8B:A7:51:6F;;-87;0.00;-2147483648;1,77472E+12;session_1774715333436
478;3C:4F:06:03:74:5C;;-38;0.00;-2147483648;1,77472E+12;session_1774715333436
479;CB:37:30:33:44:78;Govee_H619C_4478;-92;0.00;-2147483648;1,77472E+12;session_1774715333436
480;0B:2A:F3:B1:33:9F;;-70;0.00;-2147483648;1,77472E+12;session_1774715333436
481;20:64:DE:ED:F1:A6;Comedor;-87;0.00;-2147483648;1,77472E+12;session_1774715333436
482;3D:D3:73:17:40:44;;-38;0.00;-2147483648;1,77472E+12;session_1774715333436
483;29:37:CF:43:80:5F;;-91;0.00;-2147483648;1,77472E+12;session_1774715333436
484;53:0E:DC:F4:D6:AF;;-72;60466176.00;12;1,77472E+12;session_1774715333436
485;64:E7:D8:91:7B:17;;-96;0.00;-2147483648;1,77472E+12;session_1774715333436
486;2D:29:BB:28:0E:80;;-92;0.00;-2147483648;1,77472E+12;session_1774715333436
487;05:B0:3A:D7:99:0A;;-37;0.00;-2147483648;1,77472E+12;session_1774715333436
488;F8:17:2D:59:E5:86;TY;-88;0.00;-2147483648;1,77472E+12;session_1774715333436
489;47:31:70:7A:DE:DC;;-97;1163067.51;24;1,77472E+12;session_1774715333436
490;4F:60:3D:5E:18:6F;;-98;76095835015.88;8;1,77472E+12;session_1774715333436
491;FC:F1:36:35:2A:63;;-92;0.00;-2147483648;1,77472E+12;session_1774715333436
492;27:A4:43:1F:1F:02;;-50;0.00;-2147483648;1,77472E+12;session_1774715333436
493;27:FA:B1:F0:39:7E;;-104;0.00;-2147483648;1,77472E+12;session_1774715333436
494;46:52:4C:D3:3A:A5;;-90;563135147.09;12;1,77472E+12;session_1774715333436
495;A0:D7:F3:C2:B5:CF;Samsung CU8000 43;-92;0.00;-2147483648;1,77472E+12;session_1774715333436
496;62:A0:FA:DE:D2:B0;;-81;196353084.65;12;1,77472E+12;session_1774715333436
497;55:A5:DC:38:A6:8A;Tab S9 de Eduardo;-68;0.00;-2147483648;1,77472E+12;session_1774715333436
498;ED:CE:61:80:4B:55;;-99;0.00;-2147483648;1,77472E+12;session_1774715333436
499;05:F2:4F:96:5E:30;;-44;0.00;-2147483648;1,77472E+12;session_1774715333436
500;55:28:74:C4:C9:31;JBL Go 4;-102;0.00;-2147483648;1,77472E+12;session_1774715333436
501;06:65:29:DA:65:E9;Bn4038713;-94;0.00;-2147483648;1,77472E+12;session_1774715333436
502;00:04:EA:E9:D3:A7;;-100;0.00;-2147483648;1,77472E+12;session_1774715333436
503;52:9C:F1:9C:87:C7;;-94;2076594428.25;11;1,77472E+12;session_1774715333436
504;B0:52:16:D4:AA:5C;;-98;0.00;-2147483648;1,77472E+12;session_1774715333436
505;D0:03:DF:C5:D8:CD;[TV] Samsung 7 Series (50);-97;0.00;-2147483648;1,77472E+12;session_1774715333436
506;68:FC:CA:BC:DA:11;[TV] TV Living;-95;0.00;-2147483648;1,77472E+12;session_1774715333436
507;E8:AA:CB:04:47:55;"43"" The Frame";-101;0.00;-2147483648;1,77472E+12;session_1774715333436
508;47:BB:2C:BF:10:92;;-101;0.00;-2147483648;1,77472E+12;session_1774715333436
509;D8:CF:70:5B:D9:2F;;-79;0.00;-2147483648;1,77472E+12;session_1774715333436
510;DB:45:E5:E7:E9:B3;;-84;0.00;-2147483648;1,77472E+12;session_1774715333436
511;98:06:3C:2D:B1:95;;-97;0.00;-2147483648;1,77472E+12;session_1774715333436
512;62:99:38:0B:E5:74;;-93;Infinity;0;1,77472E+12;session_1774715333436
513;7C:0A:3F:54:CA:45;;-103;0.00;-2147483648;1,77472E+12;session_1774715333436
514;55:6F:D8:26:D7:C2;;-93;0.00;-2147483648;1,77472E+12;session_1774715333436
515;22:70:A9:92:07:63;;-96;0.00;-2147483648;1,77472E+12;session_1774715333436
516;05:F2:4F:96:5E:30;;-47;0.00;-2147483648;1,77472E+12;session_1774715333436
517;3C:4F:06:03:74:5C;;-47;0.00;-2147483648;1,77472E+12;session_1774715333436
518;3D:D3:73:17:40:44;;-48;0.00;-2147483648;1,77472E+12;session_1774715333436
519;53:0E:DC:F4:D6:AF;;-84;282475249.00;12;1,77472E+12;session_1774715333436
520;47:31:70:7A:DE:DC;;-98;1288689.65;24;1,77472E+12;session_1774715333436
521;BC:7E:8B:A7:51:6F;;-97;0.00;-2147483648;1,77472E+12;session_1774715333436
522;0B:2A:F3:B1:33:9F;;-69;0.00;-2147483648;1,77472E+12;session_1774715333436
523;05:B0:3A:D7:99:0A;;-49;0.00;-2147483648;1,77472E+12;session_1774715333436
524;A0:D7:F3:C2:B5:CF;Samsung CU8000 43;-98;0.00;-2147483648;1,77472E+12;session_1774715333436
525;D8:CF:70:5B:D9:2F;;-81;0.00;-2147483648;1,77472E+12;session_1774715333436
526;64:E7:D8:91:7B:17;;-100;0.00;-2147483648;1,77472E+12;session_1774715333436
527;F8:17:2D:59:E5:86;TY;-94;0.00;-2147483648;1,77472E+12;session_1774715333436
528;FC:F1:36:35:2A:63;;-93;0.00;-2147483648;1,77472E+12;session_1774715333436
529;52:9C:F1:9C:87:C7;;-91;1501367711.36;11;1,77472E+12;session_1774715333436
530;62:A0:FA:DE:D2:B0;;-87;401217683.12;12;1,77472E+12;session_1774715333436
531;06:65:29:DA:65:E9;Bn4038713;-88;0.00;-2147483648;1,77472E+12;session_1774715333436
532;2D:29:BB:28:0E:80;;-97;0.00;-2147483648;1,77472E+12;session_1774715333436
533;55:A5:DC:38:A6:8A;Tab S9 de Eduardo;-68;0.00;-2147483648;1,77472E+12;session_1774715333436
534;D0:03:DF:C5:D8:CD;[TV] Samsung 7 Series (50);-100;0.00;-2147483648;1,77472E+12;session_1774715333436
535;DB:45:E5:E7:E9:B3;;-82;0.00;-2147483648;1,77472E+12;session_1774715333436
536;20:64:DE:ED:F1:A6;Comedor;-92;0.00;-2147483648;1,77472E+12;session_1774715333436
537;EC:E8:80:AF:45:A9;FMB130_9225879_LE;-90;Infinity;0;1,77472E+12;session_1774715333436
538;27:A4:43:1F:1F:02;;-46;0.00;-2147483648;1,77472E+12;session_1774715333436
539;5D:BE:05:8B:D8:23;;-97;127880625.57;15;1,77472E+12;session_1774715333436
540;29:37:CF:43:80:5F;;-93;0.00;-2147483648;1,77472E+12;session_1774715333436
541;C8:12:0B:43:4C:93;;-99;0.00;-2147483648;1,77472E+12;session_1774715333436
542;CB:37:30:33:44:78;Govee_H619C_4478;-96;0.00;-2147483648;1,77472E+12;session_1774715333436
543;4F:60:3D:5E:18:6F;;-99;84227144253.33;8;1,77472E+12;session_1774715333436
544;C3:2E:3E:AA:CC:D8;;-94;0.00;-2147483648;1,77472E+12;session_1774715333436
545;55:28:74:C4:C9:31;JBL Go 4;-99;0.00;-2147483648;1,77472E+12;session_1774715333436
546;E8:AA:CB:04:47:55;"43"" The Frame";-98;0.00;-2147483648;1,77472E+12;session_1774715333436
547;ED:3B:7F:8C:9D:6F;;-101;0.00;-2147483648;1,77472E+12;session_1774715333436
548;D4:E0:03:E9:D4:55;;-89;0.00;-2147483648;1,77472E+12;session_1774715333436
549;5E:17:B7:C1:2F:F0;;-98;0.00;-2147483648;1,77472E+12;session_1774715333436
550;27:FA:B1:F0:39:7E;;-101;0.00;-2147483648;1,77472E+12;session_1774715333436
551;47:BB:2C:BF:10:92;;-100;0.00;-2147483648;1,77472E+12;session_1774715333436
552;54:B8:74:72:CE:63;net;-102;0.00;-2147483648;1,77472E+12;session_1774715333436
553;62:99:38:0B:E5:74;;-99;Infinity;0;1,77472E+12;session_1774715333436
554;68:FC:CA:BC:DA:11;[TV] TV Living;-97;0.00;-2147483648;1,77472E+12;session_1774715333436
555;7D:12:36:12:00:ED;;-100;Infinity;0;1,77472E+12;session_1774715333436
556;5E:84:1E:47:98:AF;;-95;966993583.69;12;1,77472E+12;session_1774715333436
557;FC:F1:36:35:2A:63;;-90;0.00;-2147483648;1,77472E+12;session_1774715333436
558;BC:7E:8B:A7:51:6F;;-97;0.00;-2147483648;1,77472E+12;session_1774715333436
559;2D:29:BB:28:0E:80;;-94;0.00;-2147483648;1,77472E+12;session_1774715333436
560;05:F2:4F:96:5E:30;;-46;0.00;-2147483648;1,77472E+12;session_1774715333436
561;3D:D3:73:17:40:44;;-37;0.00;-2147483648;1,77472E+12;session_1774715333436
562;F8:17:2D:59:E5:86;TY;-87;0.00;-2147483648;1,77472E+12;session_1774715333436
563;5E:84:1E:47:98:AF;;-96;1073741824.00;12;1,77472E+12;session_1774715333436
564;20:64:DE:ED:F1:A6;Comedor;-82;0.00;-2147483648;1,77472E+12;session_1774715333436
565;47:31:70:7A:DE:DC;;-99;1426394.08;24;1,77472E+12;session_1774715333436
566;62:A0:FA:DE:D2:B0;;-87;401217683.12;12;1,77472E+12;session_1774715333436
567;55:A5:DC:38:A6:8A;Tab S9 de Eduardo;-64;0.00;-2147483648;1,77472E+12;session_1774715333436
568;06:65:29:DA:65:E9;Bn4038713;-84;0.00;-2147483648;1,77472E+12;session_1774715333436
569;53:0E:DC:F4:D6:AF;;-72;60466176.00;12;1,77472E+12;session_1774715333436
570;64:E7:D8:91:7B:17;;-102;0.00;-2147483648;1,77472E+12;session_1774715333436
571;27:A4:43:1F:1F:02;;-46;0.00;-2147483648;1,77472E+12;session_1774715333436
572;29:37:CF:43:80:5F;;-83;0.00;-2147483648;1,77472E+12;session_1774715333436
573;F7:50:64:2E:EA:F4;;-97;0.00;-2147483648;1,77472E+12;session_1774715333436
574;7D:12:36:12:00:ED;;-98;Infinity;0;1,77472E+12;session_1774715333436
575;49:09:58:76:E1:88;;-98;1319618199.40;12;1,77472E+12;session_1774715333436
576;46:52:4C:D3:3A:A5;;-96;1073741824.00;12;1,77472E+12;session_1774715333436
577;5E:17:B7:C1:2F:F0;;-97;0.00;-2147483648;1,77472E+12;session_1774715333436
578;4F:60:3D:5E:18:6F;;-98;76095835015.88;8;1,77472E+12;session_1774715333436
579;D4:BF:6F:65:0A:B3;;-79;0.00;-2147483648;1,77472E+12;session_1774715333436
580;0B:2A:F3:B1:33:9F;;-63;0.00;-2147483648;1,77472E+12;session_1774715333436
581;DB:45:E5:E7:E9:B3;;-87;0.00;-2147483648;1,77472E+12;session_1774715333436
582;CB:37:30:33:44:78;Govee_H619C_4478;-96;0.00;-2147483648;1,77472E+12;session_1774715333436
583;62:99:38:0B:E5:74;;-98;Infinity;0;1,77472E+12;session_1774715333436
584;68:FC:CA:BC:DA:11;[TV] TV Living;-96;0.00;-2147483648;1,77472E+12;session_1774715333436
585;A0:D7:F3:C2:B5:CF;Samsung CU8000 43;-97;0.00;-2147483648;1,77472E+12;session_1774715333436
586;8C:EA:48:4C:02:79;;-101;0.00;-2147483648;1,77472E+12;session_1774715333436
587;5D:BE:05:8B:D8:23;;-98;141692925.24;15;1,77472E+12;session_1774715333436
588;52:9C:F1:9C:87:C7;;-98;3150169376.71;11;1,77472E+12;session_1774715333436
589;65:DA:77:11:6B:A0;;-100;0.00;-2147483648;1,77472E+12;session_1774715333436
590;E8:AA:CB:04:47:55;"43"" The Frame";-96;0.00;-2147483648;1,77472E+12;session_1774715333436
591;F4:3B:F3:5F:D0:AF;;-102;0.00;-2147483648;1,77472E+12;session_1774715333436
592;C8:12:0B:43:4C:93;;-95;0.00;-2147483648;1,77472E+12;session_1774715333436
593;D4:E0:03:E9:D4:55;;-97;0.00;-2147483648;1,77472E+12;session_1774715333436
594;D8:CF:70:5B:D9:2F;;-88;0.00;-2147483648;1,77472E+12;session_1774715333436
595;06:65:29:DA:65:E9;Bn4038713;-89;0.00;-2147483648;1,77472E+12;session_1774715333436
596;D4:BF:6F:65:0A:B3;;-87;0.00;-2147483648;1,77472E+12;session_1774715333436
597;D0:03:DF:C5:D8:CD;[TV] Samsung 7 Series (50);-95;0.00;-2147483648;1,77472E+12;session_1774715333436
598;47:31:70:7A:DE:DC;;-99;1426394.08;24;1,77472E+12;session_1774715333436
599;20:64:DE:ED:F1:A6;Comedor;-83;0.00;-2147483648;1,77472E+12;session_1774715333436
600;62:A0:FA:DE:D2:B0;;-80;173415299.16;12;1,77472E+12;session_1774715333436
601;3D:D3:73:17:40:44;;-36;0.00;-2147483648;1,77472E+12;session_1774715333436
602;27:A4:43:1F:1F:02;;-43;0.00;-2147483648;1,77472E+12;session_1774715333436
603;F8:17:2D:59:E5:86;TY;-87;0.00;-2147483648;1,77472E+12;session_1774715333436
604;29:37:CF:43:80:5F;;-84;0.00;-2147483648;1,77472E+12;session_1774715333436
605;2D:29:BB:28:0E:80;;-94;0.00;-2147483648;1,77472E+12;session_1774715333436
606;68:FC:CA:BC:DA:11;[TV] TV Living;-98;0.00;-2147483648;1,77472E+12;session_1774715333436
607;0B:2A:F3:B1:33:9F;;-65;0.00;-2147483648;1,77472E+12;session_1774715333436
608;55:A5:DC:38:A6:8A;Tab S9 de Eduardo;-61;0.00;-2147483648;1,77472E+12;session_1774715333436
609;FC:F1:36:35:2A:63;;-91;0.00;-2147483648;1,77472E+12;session_1774715333436
610;A0:D7:F3:C2:B5:CF;Samsung CU8000 43;-94;0.00;-2147483648;1,77472E+12;session_1774715333436
611;5E:84:1E:47:98:AF;;-96;1073741824.00;12;1,77472E+12;session_1774715333436
612;53:0E:DC:F4:D6:AF;;-87;401217683.12;12;1,77472E+12;session_1774715333436
613;C8:12:0B:43:4C:93;;-88;0.00;-2147483648;1,77472E+12;session_1774715333436
614;E8:AA:CB:04:47:55;"43"" The Frame";-95;0.00;-2147483648;1,77472E+12;session_1774715333436
615;DB:45:E5:E7:E9:B3;;-86;0.00;-2147483648;1,77472E+12;session_1774715333436
616;52:9C:F1:9C:87:C7;;-95;2308390090.57;11;1,77472E+12;session_1774715333436
617;05:F2:4F:96:5E:30;;-43;0.00;-2147483648;1,77472E+12;session_1774715333436
618;CB:37:30:33:44:78;Govee_H619C_4478;-95;0.00;-2147483648;1,77472E+12;session_1774715333436
619;62:99:38:0B:E5:74;;-98;Infinity;0;1,77472E+12;session_1774715333436
620;55:80:6E:74:37:27;;-99;1460627541.79;12;1,77472E+12;session_1774715333436
621;A0:D0:5B:9D:8F:5A;[TV] Samsung Serif TV (55);-98;0.00;-2147483648;1,77472E+12;session_1774715333436
622;52:A3:08:D4:34:66;;-100;49603324.68;17;1,77472E+12;session_1774715333436
623;47:BB:2C:BF:10:92;;-95;0.00;-2147483648;1,77472E+12;session_1774715333436
624;64:E7:D8:91:7B:17;;-97;0.00;-2147483648;1,77472E+12;session_1774715333436
625;55:6F:D8:26:D7:C2;;-99;0.00;-2147483648;1,77472E+12;session_1774715333436
626;27:FA:B1:F0:39:7E;;-100;0.00;-2147483648;1,77472E+12;session_1774715333436
627;BC:7E:8B:A7:51:6F;;-99;0.00;-2147483648;1,77472E+12;session_1774715333436
628;D4:E0:03:E9:D4:55;;-98;0.00;-2147483648;1,77472E+12;session_1774715333436
629;D8:CF:70:5B:D9:2F;;-80;0.00;-2147483648;1,77472E+12;session_1774715333436
630;7D:12:36:12:00:ED;;-99;Infinity;0;1,77472E+12;session_1774715333436
631;5C:E5:D2:AA:50:D6;;-98;Infinity;0;1,77472E+12;session_1774715333436
632;D2:ED:FA:15:7E:74;;-100;0.00;-2147483648;1,77472E+12;session_1774715333436
633;57:0B:34:09:93:46;;-99;Infinity;0;1,77472E+12;session_1774715333436
634;4F:60:3D:5E:18:6F;;-96;61917364224.00;8;1,77472E+12;session_1774715333436
635;ED:EE:48:ED:C5:7C;Vasco de Gam;-102;0.00;-2147483648;1,77472E+12;session_1774715333436
636;F5:FD:5A:F1:8E:3B;;-97;0.00;-2147483648;1,77472E+12;session_1774715333436
637;68:FC:CA:BC:DA:11;[TV] TV Living;-100;0.00;-2147483648;1,77472E+12;session_1774715333436
638;46:52:4C:D3:3A:A5;;-94;869893479.55;12;1,77472E+12;session_1774715333436
639;FC:F1:36:35:2A:63;;-89;0.00;-2147483648;1,77472E+12;session_1774715333436
640;55:80:6E:74:37:27;;-95;966993583.69;12;1,77472E+12;session_1774715333436
641;64:E7:D8:91:7B:17;;-99;0.00;-2147483648;1,77472E+12;session_1774715333436
